date,steps,minutes,steps_per_min,percent of goal
3/23/2015,8067,0,null,81%
3/24/2015,2030,0,null,20%
3/25/2015,2919,0,null,29%
3/26/2015,8897,0,null,89%
3/27/2015,7190,0,null,72%
3/28/2015,4878,0,null,49%
3/29/2015,11456,0,null,115%
3/30/2015,9887,0,null,99%
3/31/2015,4465,0,null,45%
4/1/2015,6624,0,null,66%
4/2/2015,5650,0,null,57%
4/3/2015,8760,0,null,88%
4/4/2015,8725,0,null,87%
4/5/2015,7227,0,null,72%
4/6/2015,6733,0,null,67%
4/7/2015,9892,0,null,99%
4/8/2015,4512,0,null,45%
4/9/2015,6186,0,null,62%
4/10/2015,4692,0,null,47%
4/11/2015,7574,0,null,76%
4/12/2015,7389,0,null,74%
4/13/2015,5284,0,null,53%
4/14/2015,8008,0,null,80%
4/15/2015,3513,0,null,35%
4/16/2015,11849,0,null,118%
4/17/2015,3911,0,null,39%
4/18/2015,9939,92,108,99%
4/19/2015,9664,93,104,97%
4/20/2015,9658,97,100,97%
4/21/2015,8075,74,109,81%
4/22/2015,10977,100,110,110%
4/23/2015,8605,78,110,86%
4/24/2015,12815,124,103,128%
4/25/2015,5768,62,93,58%
4/26/2015,6802,73,93,68%
4/27/2015,10109,100,101,101%
4/28/2015,11757,100,118,118%
4/29/2015,5122,49,105,51%
4/30/2015,2586,27,96,26%
5/1/2015,4757,47,101,48%
5/2/2015,9824,96,102,98%
5/3/2015,2831,30,94,28%
5/4/2015,414,4,104,4%
5/5/2015,2723,28,97,27%
5/6/2015,7354,68,108,74%
5/7/2015,2904,30,97,29%
5/8/2015,9407,87,108,94%
5/9/2015,6729,66,102,67%
5/10/2015,11354,119,95,114%
5/11/2015,1912,20,96,19%
5/12/2015,2322,25,93,23%
5/13/2015,5676,59,96,57%
5/14/2015,13632,147,93,136%
5/15/2015,5011,52,96,50%
5/16/2015,6976,71,98,70%
5/17/2015,4042,41,99,40%
5/18/2015,919,10,92,9%
5/19/2015,3277,31,106,33%
5/20/2015,1534,16,96,15%
5/21/2015,1493,13,115,15%
5/22/2015,3975,39,102,40%
5/23/2015,7896,75,105,79%
5/24/2015,13603,127,107,136%
5/25/2015,9614,92,105,96%
5/26/2015,3907,36,109,39%
5/27/2015,6315,53,119,63%
5/28/2015,1632,17,96,16%
5/29/2015,2002,21,95,20%
5/30/2015,3434,36,95,34%
5/31/2015,6562,67,98,66%
6/1/2015,5325,52,102,53%
6/2/2015,6734,68,99,67%
6/3/2015,4659,47,99,47%
6/4/2015,8467,78,109,85%
6/5/2015,4368,41,107,44%
6/6/2015,4313,44,98,43%
6/7/2015,10685,89,120,107%
6/8/2015,8691,84,103,87%
6/9/2015,4370,43,102,44%
6/10/2015,4807,51,94,48%
6/11/2015,1673,18,93,17%
6/12/2015,5209,49,106,52%
6/13/2015,5742,61,94,57%
6/14/2015,1874,19,99,19%
6/15/2015,6675,65,103,67%
6/16/2015,8336,83,100,83%
6/17/2015,2574,28,92,26%
6/18/2015,5480,50,110,55%
6/19/2015,3792,40,95,38%
6/20/2015,5816,61,95,58%
6/21/2015,4928,52,95,49%
6/22/2015,9330,86,108,93%
6/23/2015,2868,30,96,29%
6/24/2015,2405,24,100,24%
6/25/2015,6447,58,111,64%
6/26/2015,2996,31,97,30%
6/27/2015,6629,70,95,66%
